,视频,,灯光,,香氛,音乐,,,,,,,,,,,,,
,,,,,,钢琴冥想.MP3,,,,,,,,,,,,,
,状态,动作,判定标准,话语间隔,语音,,,,,,,,,,,,,,
,进入流程,点击开始,/,/,"“现在我们来练习,通过呼吸建立和增强意识,提高注意力,”",,,,,,,,,,,,,,
,准备,,,"2秒/句
","“我们来找到一个自然,放松的姿势”
“将目光内敛,将视野收窄”
“如果你感觉安全,自然,你也可以慢慢的合上眼”",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,扫描1,,,3秒/句,"“扫描全身”

“然后将意识,将注意力转移到呼吸上”


“留意到吸气”

“留意到呼气,”

“吸气时，默念我在吸气”
“呼气时，默念我在呼气”
“吸气，把所有注意力都放在吸气上”
“让这种吸气的感觉占据全身”
“呼气全神贯注呼气”
“让呼气的感觉蔓延到全身”",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
间隔10s  ,,,,,,,,,,,,,,,,,,,
,扫描2,,,3秒/句,"“如果你能完全专注于呼吸”
“其他的都不存在”
“吸气”
“留意吸气”
“呼气守住呼气”
",,,,,,,,,,,,,,
间隔8s,,,,,,,,,,,,,,,,,,,
,扫描3,,,4秒/句,"“一吸”
“一呼”",,,,,,,,,,,,,,
,间隔10s,,,,,,,,,,,,,,,,,,
,扫描4,,,/,“持续不断”,,,,,,,,,,,,,,
,,间隔30s,,,,,,,,,,,,,,,,,
,冥想1,,,3秒/句,"“眼前的生活计划有序也好,你自己心乱如麻也好”
“过去”“将来”“恐惧”“懊悔”“都不存在”
“存在的只有呼吸”
“呼吸是你存在的根基”
“将思想专注于眼前”
“专注于鼻尖”
",,,,,,,,,,,,,,
,间隔5s,,,,,,,,,,,,,,,,,,
,冥想2,,,3秒/句,"“放下所有其他的”
“将思想带回根基”
“将意识带入身体”
“你的身和心存在于此时此地”
",,,,,,,,,,,,,,
,间隔5s,,,,,,,,,,,,,,,,,,
,冥想3,,,3秒/句,"“吸气”
“呼气”
“呼吸和身心成一体”
“将我保持在此时此地”
“全神贯注”
",,,,,,,,,,,,,,
,,间隔4s,,,,,,,,,,,,,,,,,
,冥想4,,,5秒/句,"“呼吸赋予我生命感”
“身和心紧密融合”
",,,,,,,,,,,,,,
,间隔5秒,,,,,,,,,,,,,,,,,,
,冥想5,,,/,"“我们能更深入的活出生命这一刻”
",,,,,,,,,,,,,,
,间隔11s,,,,,,,,,,,,,,,,,,
,冥想6,,,3秒/句,"“我们接着来”
“吸气”
“意识跟随着吸气”
“呼气”
“意识跟随着呼气”
“吸气”
“感觉这样”
“呼气”
“感觉这样”
“吸”
“我在吸气”
“呼”
“我在呼气”
",,,,,,,,,,,,,,
,间隔9s,,,,,,,,,,,,,,,,,,
,冥想7,,,/,"“让我们感受一会纯粹,完全的存在”",,,,,,,,,,,,,,
,间隔28秒,,,,,,,,,,,,,,,,,,
,冥想8,,,3秒/句,"“吸”
“此时我在吸”
“呼”
“此时我在呼”",,,,,,,,,,,,,,
,间隔18秒,,,,,,,,,,,,,,,,,,
,冥想9,,,3秒/句,"“慢慢的睁开眼”
“环视四周”
“开始放弃，放弃对呼吸的管控”
",,,,,,,,,,,,,,
,间隔10s,,,,,,,,,,,,,,,,,,
,冥想10,,,1.5秒/句,"“任由你的意识”
“任由你的呼吸”
“任由它逐流”",,,,,,,,,,,,,,
,间隔22秒,,,,,,,,,,,,,,,,,,
,冥想11,,,/,"“重新开始建立和周围环境的连接”
",,,,,,,,,,,,,,
,间隔5秒,,,,,,,,,,,,,,,,,,
,冥想12,,,1.5秒/句,"“呼吸的练习,是冥想基础的基础”
“我们可以,也需要去时时的温习”
“有时间呼吸,就有时间冥想”
“所以,冥想并不需要特殊的仪式,不需要主动安排时间”
“或者做任何的正规体式,我们将意识,将注意力保持在根基上”
“守住当下,就是在冥想”",,,,,,,,,,,,,,
,结束,,,1秒/句,"“好谢谢你的练习,我们明天见”",,,,,,,,,,,,,,